,Year,code_postal,type_local,median_value_SQM,mean_value_SQM,std_value_SQM,median_value,mean_value,std_value
450,2018,31,Appartement,2259.147751155948,2233.707016735703,768.0242102132718,131120.25,133854.3125735294,54719.84449319276
451,2018,31,Local industriel. commercial ou assimilé,1495.1923076923076,2090.3038332263,2983.900487261483,210000.0,741254.4583582089,3005480.1263555475
452,2018,31,Maison,2346.8998769720656,2280.1143682547104,783.5890847588244,237267.0,232885.0,89396.99912675798
453,2019,31,Appartement,2062.5,2150.9956451496746,842.7767716299184,123850.0,121678.98427536232,41675.57037299861
454,2019,31,Local industriel. commercial ou assimilé,1594.6719530790328,1994.3440769862973,2034.2537476926443,179975.0,216154.4455,137221.91386687607
455,2019,31,Maison,2407.0146089542645,2366.2432465273714,825.4561132273938,236562.5,241705.5357142857,92362.2488373872
456,2020,31,Appartement,2317.63925729443,2344.893377849875,738.2431105709475,131550.0,130431.58911764706,46916.6479918194
457,2020,31,Local industriel. commercial ou assimilé,1642.887919132604,1822.085131206987,1313.735349373933,204250.0,252368.9125,216852.6993590708
458,2020,31,Maison,2521.076998050682,2450.979211023094,895.6676292111708,250694.5,253983.0642857143,97113.44910023717
459,2021,31,Appartement,2375.391097570785,2333.631223881662,872.9223691860916,132655.75,129000.11014705883,48177.717672743216
460,2021,31,Local industriel. commercial ou assimilé,1521.0671768707484,1851.083314957072,1590.0186783441236,220000.0,264785.24731343286,292574.96419368015
461,2021,31,Maison,2730.149474061678,2599.933019066791,888.1826512800727,266500.0,269165.5957142857,104048.09405751125
462,2022,31,Appartement,2472.9750550256786,2491.982474384687,816.3264280839265,136000.0,136430.78358208956,43290.66901553154
463,2022,31,Local industriel. commercial ou assimilé,1775.6130198915007,2312.946306909081,2235.848863604173,200000.0,292774.59362318844,549662.0577844752
464,2022,31,Maison,2856.159420289855,2748.9508306612,917.6888493514076,285510.0,285562.27142857143,105431.4020784586
